# Ethiopic 1200 - 137F
1325	et-the	ETHIOPIC SYLLABLE THE
1326	et-tho	ETHIOPIC SYLLABLE THO
1327	et-thwa	ETHIOPIC SYLLABLE THWA
1328	et-cha	ETHIOPIC SYLLABLE CHA
1329	et-chu	ETHIOPIC SYLLABLE CHU
132A	et-chi	ETHIOPIC SYLLABLE CHI
132B	et-chaa	ETHIOPIC SYLLABLE CHAA
132C	et-chee	ETHIOPIC SYLLABLE CHEE
132D	et-che	ETHIOPIC SYLLABLE CHE
132E	et-cho	ETHIOPIC SYLLABLE CHO
132F	et-chwa	ETHIOPIC SYLLABLE CHWA
1330	et-pha	ETHIOPIC SYLLABLE PHA
1331	et-phu	ETHIOPIC SYLLABLE PHU
1332	et-phi	ETHIOPIC SYLLABLE PHI
1333	et-phaa	ETHIOPIC SYLLABLE PHAA
1334	et-phee	ETHIOPIC SYLLABLE PHEE
1335	et-phe	ETHIOPIC SYLLABLE PHE
1336	et-pho	ETHIOPIC SYLLABLE PHO
1337	et-phwa	ETHIOPIC SYLLABLE PHWA
1338	et-tsa	ETHIOPIC SYLLABLE TSA
1339	et-tsu	ETHIOPIC SYLLABLE TSU
133A	et-tsi	ETHIOPIC SYLLABLE TSI
133B	et-tsaa	ETHIOPIC SYLLABLE TSAA
133C	et-tsee	ETHIOPIC SYLLABLE TSEE
133D	et-tse	ETHIOPIC SYLLABLE TSE
133E	et-tso	ETHIOPIC SYLLABLE TSO
133F	et-tswa	ETHIOPIC SYLLABLE TSWA
1340	et-tza	ETHIOPIC SYLLABLE TZA
1341	et-tzu	ETHIOPIC SYLLABLE TZU
1342	et-tzi	ETHIOPIC SYLLABLE TZI
1343	et-tzaa	ETHIOPIC SYLLABLE TZAA
1344	et-tzee	ETHIOPIC SYLLABLE TZEE
1345	et-tze	ETHIOPIC SYLLABLE TZE
1346	et-tzo	ETHIOPIC SYLLABLE TZO
1347	et-tzoa	ETHIOPIC SYLLABLE TZOA
1348	et-fa	ETHIOPIC SYLLABLE FA
1349	et-fu	ETHIOPIC SYLLABLE FU
134A	et-fi	ETHIOPIC SYLLABLE FI
134B	et-faa	ETHIOPIC SYLLABLE FAA
134C	et-fee	ETHIOPIC SYLLABLE FEE
134D	et-fe	ETHIOPIC SYLLABLE FE
134E	et-fo	ETHIOPIC SYLLABLE FO
134F	et-fwa	ETHIOPIC SYLLABLE FWA
1350	et-pa	ETHIOPIC SYLLABLE PA
1351	et-pu	ETHIOPIC SYLLABLE PU
1352	et-pi	ETHIOPIC SYLLABLE PI
1353	et-paa	ETHIOPIC SYLLABLE PAA
1354	et-pee	ETHIOPIC SYLLABLE PEE
1355	et-pe	ETHIOPIC SYLLABLE PE
1356	et-po	ETHIOPIC SYLLABLE PO
1357	et-pwa	ETHIOPIC SYLLABLE PWA
1358	et-rya	ETHIOPIC SYLLABLE RYA
1359	et-mya	ETHIOPIC SYLLABLE MYA
135A	et-fya	ETHIOPIC SYLLABLE FYA
135F	et-geminationmarkcmb	ETHIOPIC COMBINING GEMINATION MARK
1360	et-sectionmark	ETHIOPIC SECTION MARK
1361	et-wordspace	ETHIOPIC WORDSPACE
1362	et-fullstop	ETHIOPIC FULL STOP
1363	et-comma	ETHIOPIC COMMA
1364	et-semicolon	ETHIOPIC SEMICOLON
1365	et-colon	ETHIOPIC COLON
1366	et-prefacecolon	ETHIOPIC PREFACE COLON
1367	et-questionmark	ETHIOPIC QUESTION MARK
1368	et-paragraphseparator	ETHIOPIC PARAGRAPH SEPARATOR
1369	et-one	ETHIOPIC DIGIT ONE
136A	et-two	ETHIOPIC DIGIT TWO
136B	et-three	ETHIOPIC DIGIT THREE
136C	et-four	ETHIOPIC DIGIT FOUR
136D	et-five	ETHIOPIC DIGIT FIVE
136E	et-six	ETHIOPIC DIGIT SIX
136F	et-seven	ETHIOPIC DIGIT SEVEN
1370	et-eight	ETHIOPIC DIGIT EIGHT
1371	et-nine	ETHIOPIC DIGIT NINE
1372	et-ten	ETHIOPIC NUMBER TEN
1373	et-twenty	ETHIOPIC NUMBER TWENTY
1374	et-thirty	ETHIOPIC NUMBER THIRTY
1375	et-forty	ETHIOPIC NUMBER FORTY
1376	et-fifty	ETHIOPIC NUMBER FIFTY
1377	et-sixty	ETHIOPIC NUMBER SIXTY
1378	et-seventy	ETHIOPIC NUMBER SEVENTY
1379	et-eighty	ETHIOPIC NUMBER EIGHTY
137A	et-ninety	ETHIOPIC NUMBER NINETY
137B	et-hundred	ETHIOPIC NUMBER HUNDRED
137C	et-tenthousand	ETHIOPIC NUMBER TEN THOUSAND
