# Cuneiform 12000 - 123FF
120EF	cnfr-cuneiformsigngabacrossinggaba	CUNEIFORM SIGN GABA CROSSING GABA
120F0	cnfr-cuneiformsigngad	CUNEIFORM SIGN GAD
120F1	cnfr-cuneiformsigngadovergadgarovergar	CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
120F2	cnfr-cuneiformsigngal	CUNEIFORM SIGN GAL
120F3	cnfr-cuneiformsigngalgadovergadgarovergar	CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR
120F4	cnfr-cuneiformsigngalam	CUNEIFORM SIGN GALAM
120F5	cnfr-cuneiformsigngam	CUNEIFORM SIGN GAM
120F6	cnfr-cuneiformsigngan	CUNEIFORM SIGN GAN
120F7	cnfr-cuneiformsigngan2	CUNEIFORM SIGN GAN2
120F8	cnfr-cuneiformsigngan2tenu	CUNEIFORM SIGN GAN2 TENU
120F9	cnfr-cuneiformsigngan2overgan2	CUNEIFORM SIGN GAN2 OVER GAN2
120FA	cnfr-cuneiformsigngan2crossinggan2	CUNEIFORM SIGN GAN2 CROSSING GAN2
120FB	cnfr-cuneiformsigngar	CUNEIFORM SIGN GAR
120FC	cnfr-cuneiformsigngar3	CUNEIFORM SIGN GAR3
120FD	cnfr-cuneiformsigngashan	CUNEIFORM SIGN GASHAN
120FE	cnfr-cuneiformsigngeshtin	CUNEIFORM SIGN GESHTIN
120FF	cnfr-cuneiformsigngeshtintimeskur	CUNEIFORM SIGN GESHTIN TIMES KUR
12100	cnfr-cuneiformsigngi	CUNEIFORM SIGN GI
12101	cnfr-cuneiformsigngitimese	CUNEIFORM SIGN GI TIMES E
12102	cnfr-cuneiformsigngitimesu	CUNEIFORM SIGN GI TIMES U
12103	cnfr-cuneiformsigngicrossinggi	CUNEIFORM SIGN GI CROSSING GI
12104	cnfr-cuneiformsigngi4	CUNEIFORM SIGN GI4
12105	cnfr-cuneiformsigngi4overgi4	CUNEIFORM SIGN GI4 OVER GI4
12106	cnfr-cuneiformsigngi4crossinggi4	CUNEIFORM SIGN GI4 CROSSING GI4
12107	cnfr-cuneiformsigngidim	CUNEIFORM SIGN GIDIM
12108	cnfr-cuneiformsigngir2	CUNEIFORM SIGN GIR2
12109	cnfr-cuneiformsigngir2gunu	CUNEIFORM SIGN GIR2 GUNU
1210A	cnfr-cuneiformsigngir3	CUNEIFORM SIGN GIR3
1210B	cnfr-cuneiformsigngir3timesaplusigi	CUNEIFORM SIGN GIR3 TIMES A PLUS IGI
1210C	cnfr-cuneiformsigngir3timesgan2tenu	CUNEIFORM SIGN GIR3 TIMES GAN2 TENU
1210D	cnfr-cuneiformsigngir3timesigi	CUNEIFORM SIGN GIR3 TIMES IGI
1210E	cnfr-cuneiformsigngir3timesluplusigi	CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI
1210F	cnfr-cuneiformsigngir3timespa	CUNEIFORM SIGN GIR3 TIMES PA
12110	cnfr-cuneiformsigngisal	CUNEIFORM SIGN GISAL
12111	cnfr-cuneiformsigngish	CUNEIFORM SIGN GISH
12112	cnfr-cuneiformsigngishcrossinggish	CUNEIFORM SIGN GISH CROSSING GISH
12113	cnfr-cuneiformsigngishtimesbad	CUNEIFORM SIGN GISH TIMES BAD
12114	cnfr-cuneiformsigngishtimestak4	CUNEIFORM SIGN GISH TIMES TAK4
12115	cnfr-cuneiformsigngishtenu	CUNEIFORM SIGN GISH TENU
12116	cnfr-cuneiformsigngu	CUNEIFORM SIGN GU
12117	cnfr-cuneiformsigngucrossinggu	CUNEIFORM SIGN GU CROSSING GU
12118	cnfr-cuneiformsigngu2	CUNEIFORM SIGN GU2
12119	cnfr-cuneiformsigngu2timeskak	CUNEIFORM SIGN GU2 TIMES KAK
1211A	cnfr-cuneiformsigngu2timeskaktimesigigunu	CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU
1211B	cnfr-cuneiformsigngu2timesnun	CUNEIFORM SIGN GU2 TIMES NUN
1211C	cnfr-cuneiformsigngu2timessalplustug2	CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2
1211D	cnfr-cuneiformsigngu2gunu	CUNEIFORM SIGN GU2 GUNU
1211E	cnfr-cuneiformsigngud	CUNEIFORM SIGN GUD
1211F	cnfr-cuneiformsigngudtimesapluskur	CUNEIFORM SIGN GUD TIMES A PLUS KUR
12120	cnfr-cuneiformsigngudtimeskur	CUNEIFORM SIGN GUD TIMES KUR
12121	cnfr-cuneiformsigngudovergudlugal	CUNEIFORM SIGN GUD OVER GUD LUGAL
12122	cnfr-cuneiformsigngul	CUNEIFORM SIGN GUL
12123	cnfr-cuneiformsigngum	CUNEIFORM SIGN GUM
12124	cnfr-cuneiformsigngumtimesshe	CUNEIFORM SIGN GUM TIMES SHE
12125	cnfr-cuneiformsigngur	CUNEIFORM SIGN GUR
12126	cnfr-cuneiformsigngur7	CUNEIFORM SIGN GUR7
12127	cnfr-cuneiformsigngurun	CUNEIFORM SIGN GURUN
12128	cnfr-cuneiformsigngurush	CUNEIFORM SIGN GURUSH
12129	cnfr-cuneiformsignha	CUNEIFORM SIGN HA
1212A	cnfr-cuneiformsignhatenu	CUNEIFORM SIGN HA TENU
1212B	cnfr-cuneiformsignhagunu	CUNEIFORM SIGN HA GUNU
1212C	cnfr-cuneiformsignhal	CUNEIFORM SIGN HAL
1212D	cnfr-cuneiformsignhi	CUNEIFORM SIGN HI
1212E	cnfr-cuneiformsignhitimesash	CUNEIFORM SIGN HI TIMES ASH
1212F	cnfr-cuneiformsignhitimesash2	CUNEIFORM SIGN HI TIMES ASH2
12130	cnfr-cuneiformsignhitimesbad	CUNEIFORM SIGN HI TIMES BAD
12131	cnfr-cuneiformsignhitimesdish	CUNEIFORM SIGN HI TIMES DISH
