# Mathematical Operators 2200 - 22FF
22F1	mthm-ellipsisdiagonaldownright	DOWN RIGHT DIAGONAL ELLIPSIS
22F2	mthm-elementhorizontalstroke	ELEMENT OF WITH LONG HORIZONTAL STROKE
22F3	mthm-elementverticalbarhorizontalstroke	ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22F4	mthm-elementsmallverticalbarhorizontalstroke	SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22F5	mthm-elementdotabove	ELEMENT OF WITH DOT ABOVE
22F6	mthm-elementoverbar	ELEMENT OF WITH OVERBAR
22F7	mthm-elementoverbarsmall	SMALL ELEMENT OF WITH OVERBAR
22F8	mthm-elementunderbar	ELEMENT OF WITH UNDERBAR
22F9	mthm-elementtwoshorizontalstroke	ELEMENT OF WITH TWO HORIZONTAL STROKES
22FA	mthm-containshorizontalstroke	CONTAINS WITH LONG HORIZONTAL STROKE
22FB	mthm-containsverticalbarhorizontalstroke	CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22FC	mthm-containssmallverticalbarhorizontalstroke	SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22FD	mthm-containsoverbar	CONTAINS WITH OVERBAR
22FE	mthm-containsoverbarsmall	SMALL CONTAINS WITH OVERBAR
22FF	mthm-znotationbagmembership	Z NOTATION BAG MEMBERSHIP
