# Hangul Jamo 1100 - 11FF
1191	hanguljungseongyuyeo	HANGUL JUNGSEONG YU-YEO
1192	hanguljungseongyuye	HANGUL JUNGSEONG YU-YE
1193	hanguljungseongyuu	HANGUL JUNGSEONG YU-U
1194	hanguljungseongyui	HANGUL JUNGSEONG YU-I
1195	hanguljungseongeuu	HANGUL JUNGSEONG EU-U
1196	hanguljungseongeueu	HANGUL JUNGSEONG EU-EU
1197	hanguljungseongyiu	HANGUL JUNGSEONG YI-U
1198	hanguljungseongia	HANGUL JUNGSEONG I-A
1199	hanguljungseongiya	HANGUL JUNGSEONG I-YA
119A	hanguljungseongio	HANGUL JUNGSEONG I-O
119B	hanguljungseongiu	HANGUL JUNGSEONG I-U
119C	hanguljungseongieu	HANGUL JUNGSEONG I-EU
119D	hanguljungseongiaraea	HANGUL JUNGSEONG I-ARAEA
119E	hanguljungseongaraea	HANGUL JUNGSEONG ARAEA
119F	hanguljungseongaraeaeo	HANGUL JUNGSEONG ARAEA-EO
11A0	hanguljungseongaraeau	HANGUL JUNGSEONG ARAEA-U
11A1	hanguljungseongaraeai	HANGUL JUNGSEONG ARAEA-I
11A2	hanguljungseongssangaraea	HANGUL JUNGSEONG SSANGARAEA
11A3	hanguljungseongaeu	HANGUL JUNGSEONG A-EU
11A4	hanguljungseongyau	HANGUL JUNGSEONG YA-U
11A5	hanguljungseongyeoya	HANGUL JUNGSEONG YEO-YA
11A6	hanguljungseongoya	HANGUL JUNGSEONG O-YA
11A7	hanguljungseongoyae	HANGUL JUNGSEONG O-YAE
11A8	hanguljongseongkiyeok	HANGUL JONGSEONG KIYEOK
11A9	hanguljongseongssangkiyeok	HANGUL JONGSEONG SSANGKIYEOK
11AA	hanguljongseongkiyeoksios	HANGUL JONGSEONG KIYEOK-SIOS
11AB	hanguljongseongnieun	HANGUL JONGSEONG NIEUN
11AC	hanguljongseongnieuncieuc	HANGUL JONGSEONG NIEUN-CIEUC
11AD	hanguljongseongnieunhieuh	HANGUL JONGSEONG NIEUN-HIEUH
11AE	hanguljongseongtikeut	HANGUL JONGSEONG TIKEUT
11AF	hanguljongseongrieul	HANGUL JONGSEONG RIEUL
11B0	hanguljongseongrieulkiyeok	HANGUL JONGSEONG RIEUL-KIYEOK
11B1	hanguljongseongrieulmieum	HANGUL JONGSEONG RIEUL-MIEUM
11B2	hanguljongseongrieulpieup	HANGUL JONGSEONG RIEUL-PIEUP
11B3	hanguljongseongrieulsios	HANGUL JONGSEONG RIEUL-SIOS
11B4	hanguljongseongrieulthieuth	HANGUL JONGSEONG RIEUL-THIEUTH
11B5	hanguljongseongrieulphieuph	HANGUL JONGSEONG RIEUL-PHIEUPH
11B6	hanguljongseongrieulhieuh	HANGUL JONGSEONG RIEUL-HIEUH
11B7	hanguljongseongmieum	HANGUL JONGSEONG MIEUM
11B8	hanguljongseongpieup	HANGUL JONGSEONG PIEUP
11B9	hanguljongseongpieupsios	HANGUL JONGSEONG PIEUP-SIOS
11BA	hanguljongseongsios	HANGUL JONGSEONG SIOS
11BB	hanguljongseongssangsios	HANGUL JONGSEONG SSANGSIOS
11BC	hanguljongseongieung	HANGUL JONGSEONG IEUNG
11BD	hanguljongseongcieuc	HANGUL JONGSEONG CIEUC
11BE	hanguljongseongchieuch	HANGUL JONGSEONG CHIEUCH
11BF	hanguljongseongkhieukh	HANGUL JONGSEONG KHIEUKH
11C0	hanguljongseongthieuth	HANGUL JONGSEONG THIEUTH
11C1	hanguljongseongphieuph	HANGUL JONGSEONG PHIEUPH
11C2	hanguljongseonghieuh	HANGUL JONGSEONG HIEUH
11C3	hanguljongseongkiyeokrieul	HANGUL JONGSEONG KIYEOK-RIEUL
11C4	hanguljongseongkiyeoksioskiyeok	HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK
11C5	hanguljongseongnieunkiyeok	HANGUL JONGSEONG NIEUN-KIYEOK
11C6	hanguljongseongnieuntikeut	HANGUL JONGSEONG NIEUN-TIKEUT
11C7	hanguljongseongnieunsios	HANGUL JONGSEONG NIEUN-SIOS
11C8	hanguljongseongnieunpansios	HANGUL JONGSEONG NIEUN-PANSIOS
11C9	hanguljongseongnieunthieuth	HANGUL JONGSEONG NIEUN-THIEUTH
11CA	hanguljongseongtikeutkiyeok	HANGUL JONGSEONG TIKEUT-KIYEOK
11CB	hanguljongseongtikeutrieul	HANGUL JONGSEONG TIKEUT-RIEUL
11CC	hanguljongseongrieulkiyeoksios	HANGUL JONGSEONG RIEUL-KIYEOK-SIOS
11CD	hanguljongseongrieulnieun	HANGUL JONGSEONG RIEUL-NIEUN
11CE	hanguljongseongrieultikeut	HANGUL JONGSEONG RIEUL-TIKEUT
11CF	hanguljongseongrieultikeuthieuh	HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH
11D0	hanguljongseongssangrieul	HANGUL JONGSEONG SSANGRIEUL
11D1	hanguljongseongrieulmieumkiyeok	HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK
11D2	hanguljongseongrieulmieumsios	HANGUL JONGSEONG RIEUL-MIEUM-SIOS
11D3	hanguljongseongrieulpieupsios	HANGUL JONGSEONG RIEUL-PIEUP-SIOS
11D4	hanguljongseongrieulpieuphieuh	HANGUL JONGSEONG RIEUL-PIEUP-HIEUH
11D5	hanguljongseongrieulkapyeounpieup	HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP
11D6	hanguljongseongrieulssangsios	HANGUL JONGSEONG RIEUL-SSANGSIOS
11D7	hanguljongseongrieulpansios	HANGUL JONGSEONG RIEUL-PANSIOS
11D8	hanguljongseongrieulkhieukh	HANGUL JONGSEONG RIEUL-KHIEUKH
11D9	hanguljongseongrieulyeorinhieuh	HANGUL JONGSEONG RIEUL-YEORINHIEUH
11DA	hanguljongseongmieumkiyeok	HANGUL JONGSEONG MIEUM-KIYEOK
11DB	hanguljongseongmieumrieul	HANGUL JONGSEONG MIEUM-RIEUL
11DC	hanguljongseongmieumpieup	HANGUL JONGSEONG MIEUM-PIEUP
11DD	hanguljongseongmieumsios	HANGUL JONGSEONG MIEUM-SIOS
11DE	hanguljongseongmieumssangsios	HANGUL JONGSEONG MIEUM-SSANGSIOS
11DF	hanguljongseongmieumpansios	HANGUL JONGSEONG MIEUM-PANSIOS
11E0	hanguljongseongmieumchieuch	HANGUL JONGSEONG MIEUM-CHIEUCH
11E1	hanguljongseongmieumhieuh	HANGUL JONGSEONG MIEUM-HIEUH
11E2	hanguljongseongkapyeounmieum	HANGUL JONGSEONG KAPYEOUNMIEUM
11E3	hanguljongseongpieuprieul	HANGUL JONGSEONG PIEUP-RIEUL
11E4	hanguljongseongpieupphieuph	HANGUL JONGSEONG PIEUP-PHIEUPH
11E5	hanguljongseongpieuphieuh	HANGUL JONGSEONG PIEUP-HIEUH
11E6	hanguljongseongkapyeounpieup	HANGUL JONGSEONG KAPYEOUNPIEUP
11E7	hanguljongseongsioskiyeok	HANGUL JONGSEONG SIOS-KIYEOK
11E8	hanguljongseongsiostikeut	HANGUL JONGSEONG SIOS-TIKEUT
11E9	hanguljongseongsiosrieul	HANGUL JONGSEONG SIOS-RIEUL
11EA	hanguljongseongsiospieup	HANGUL JONGSEONG SIOS-PIEUP
11EB	hanguljongseongpansios	HANGUL JONGSEONG PANSIOS
11EC	hanguljongseongieungkiyeok	HANGUL JONGSEONG IEUNG-KIYEOK
11ED	hanguljongseongieungssangkiyeok	HANGUL JONGSEONG IEUNG-SSANGKIYEOK
11EE	hanguljongseongssangieung	HANGUL JONGSEONG SSANGIEUNG
11EF	hanguljongseongieungkhieukh	HANGUL JONGSEONG IEUNG-KHIEUKH
11F0	hanguljongseongyesieung	HANGUL JONGSEONG YESIEUNG
11F1	hanguljongseongyesieungsios	HANGUL JONGSEONG YESIEUNG-SIOS
11F2	hanguljongseongyesieungpansios	HANGUL JONGSEONG YESIEUNG-PANSIOS
11F3	hanguljongseongphieuphpieup	HANGUL JONGSEONG PHIEUPH-PIEUP
11F4	hanguljongseongkapyeounphieuph	HANGUL JONGSEONG KAPYEOUNPHIEUPH
11F5	hanguljongseonghieuhnieun	HANGUL JONGSEONG HIEUH-NIEUN
11F6	hanguljongseonghieuhrieul	HANGUL JONGSEONG HIEUH-RIEUL
11F7	hanguljongseonghieuhmieum	HANGUL JONGSEONG HIEUH-MIEUM
11F8	hanguljongseonghieuhpieup	HANGUL JONGSEONG HIEUH-PIEUP
11F9	hanguljongseongyeorinhieuh	HANGUL JONGSEONG YEORINHIEUH
11FA	hanguljongseongkiyeoknieun	HANGUL JONGSEONG KIYEOK-NIEUN
11FB	hanguljongseongkiyeokpieup	HANGUL JONGSEONG KIYEOK-PIEUP
11FC	hanguljongseongkiyeokchieuch	HANGUL JONGSEONG KIYEOK-CHIEUCH
11FD	hanguljongseongkiyeokkhieukh	HANGUL JONGSEONG KIYEOK-KHIEUKH
11FE	hanguljongseongkiyeokhieuh	HANGUL JONGSEONG KIYEOK-HIEUH
11FF	hanguljongseongssangnieun	HANGUL JONGSEONG SSANGNIEUN
