# CJK Compatibility Ideographs F900 - FAFF
F9E4	cjk-cjkcompatibilityideographf9e4	CJK COMPATIBILITY IDEOGRAPH-F9E4
F9E5	cjk-cjkcompatibilityideographf9e5	CJK COMPATIBILITY IDEOGRAPH-F9E5
F9E6	cjk-cjkcompatibilityideographf9e6	CJK COMPATIBILITY IDEOGRAPH-F9E6
F9E7	cjk-cjkcompatibilityideographf9e7	CJK COMPATIBILITY IDEOGRAPH-F9E7
F9E8	cjk-cjkcompatibilityideographf9e8	CJK COMPATIBILITY IDEOGRAPH-F9E8
F9E9	cjk-cjkcompatibilityideographf9e9	CJK COMPATIBILITY IDEOGRAPH-F9E9
F9EA	cjk-cjkcompatibilityideographf9ea	CJK COMPATIBILITY IDEOGRAPH-F9EA
F9EB	cjk-cjkcompatibilityideographf9eb	CJK COMPATIBILITY IDEOGRAPH-F9EB
F9EC	cjk-cjkcompatibilityideographf9ec	CJK COMPATIBILITY IDEOGRAPH-F9EC
F9ED	cjk-cjkcompatibilityideographf9ed	CJK COMPATIBILITY IDEOGRAPH-F9ED
F9EE	cjk-cjkcompatibilityideographf9ee	CJK COMPATIBILITY IDEOGRAPH-F9EE
F9EF	cjk-cjkcompatibilityideographf9ef	CJK COMPATIBILITY IDEOGRAPH-F9EF
F9F0	cjk-cjkcompatibilityideographf9f0	CJK COMPATIBILITY IDEOGRAPH-F9F0
F9F1	cjk-cjkcompatibilityideographf9f1	CJK COMPATIBILITY IDEOGRAPH-F9F1
F9F2	cjk-cjkcompatibilityideographf9f2	CJK COMPATIBILITY IDEOGRAPH-F9F2
F9F3	cjk-cjkcompatibilityideographf9f3	CJK COMPATIBILITY IDEOGRAPH-F9F3
F9F4	cjk-cjkcompatibilityideographf9f4	CJK COMPATIBILITY IDEOGRAPH-F9F4
F9F5	cjk-cjkcompatibilityideographf9f5	CJK COMPATIBILITY IDEOGRAPH-F9F5
F9F6	cjk-cjkcompatibilityideographf9f6	CJK COMPATIBILITY IDEOGRAPH-F9F6
F9F7	cjk-cjkcompatibilityideographf9f7	CJK COMPATIBILITY IDEOGRAPH-F9F7
F9F8	cjk-cjkcompatibilityideographf9f8	CJK COMPATIBILITY IDEOGRAPH-F9F8
F9F9	cjk-cjkcompatibilityideographf9f9	CJK COMPATIBILITY IDEOGRAPH-F9F9
F9FA	cjk-cjkcompatibilityideographf9fa	CJK COMPATIBILITY IDEOGRAPH-F9FA
