# Unified Canadian Aboriginal Syllabics 1400 - 167F
149F	nfdc-canadiansyllabicswestcreecwaa	CANADIAN SYLLABICS WEST-CREE CWAA
14A0	nfdc-canadiansyllabicsnaskapicwaa	CANADIAN SYLLABICS NASKAPI CWAA
14A1	nfdc-canadiansyllabicsc	CANADIAN SYLLABICS C
14A2	nfdc-canadiansyllabicssayisith	CANADIAN SYLLABICS SAYISI TH
14A3	nfdc-canadiansyllabicsme	CANADIAN SYLLABICS ME
14A4	nfdc-canadiansyllabicsmaai	CANADIAN SYLLABICS MAAI
14A5	nfdc-canadiansyllabicsmi	CANADIAN SYLLABICS MI
14A6	nfdc-canadiansyllabicsmii	CANADIAN SYLLABICS MII
14A7	nfdc-canadiansyllabicsmo	CANADIAN SYLLABICS MO
14A8	nfdc-canadiansyllabicsmoo	CANADIAN SYLLABICS MOO
14A9	nfdc-canadiansyllabicsycreemoo	CANADIAN SYLLABICS Y-CREE MOO
14AA	nfdc-canadiansyllabicsma	CANADIAN SYLLABICS MA
14AB	nfdc-canadiansyllabicsmaa	CANADIAN SYLLABICS MAA
14AC	nfdc-canadiansyllabicsmwe	CANADIAN SYLLABICS MWE
14AD	nfdc-canadiansyllabicswestcreemwe	CANADIAN SYLLABICS WEST-CREE MWE
14AE	nfdc-canadiansyllabicsmwi	CANADIAN SYLLABICS MWI
14AF	nfdc-canadiansyllabicswestcreemwi	CANADIAN SYLLABICS WEST-CREE MWI
14B0	nfdc-canadiansyllabicsmwii	CANADIAN SYLLABICS MWII
14B1	nfdc-canadiansyllabicswestcreemwii	CANADIAN SYLLABICS WEST-CREE MWII
14B2	nfdc-canadiansyllabicsmwo	CANADIAN SYLLABICS MWO
14B3	nfdc-canadiansyllabicswestcreemwo	CANADIAN SYLLABICS WEST-CREE MWO
14B4	nfdc-canadiansyllabicsmwoo	CANADIAN SYLLABICS MWOO
14B5	nfdc-canadiansyllabicswestcreemwoo	CANADIAN SYLLABICS WEST-CREE MWOO
14B6	nfdc-canadiansyllabicsmwa	CANADIAN SYLLABICS MWA
14B7	nfdc-canadiansyllabicswestcreemwa	CANADIAN SYLLABICS WEST-CREE MWA
14B8	nfdc-canadiansyllabicsmwaa	CANADIAN SYLLABICS MWAA
14B9	nfdc-canadiansyllabicswestcreemwaa	CANADIAN SYLLABICS WEST-CREE MWAA
14BA	nfdc-canadiansyllabicsnaskapimwaa	CANADIAN SYLLABICS NASKAPI MWAA
14BB	nfdc-canadiansyllabicsm	CANADIAN SYLLABICS M
14BC	nfdc-canadiansyllabicswestcreem	CANADIAN SYLLABICS WEST-CREE M
14BD	nfdc-canadiansyllabicsmh	CANADIAN SYLLABICS MH
14BE	nfdc-canadiansyllabicsathapascanm	CANADIAN SYLLABICS ATHAPASCAN M
14BF	nfdc-canadiansyllabicssayisim	CANADIAN SYLLABICS SAYISI M
14C0	nfdc-canadiansyllabicsne	CANADIAN SYLLABICS NE
14C1	nfdc-canadiansyllabicsnaai	CANADIAN SYLLABICS NAAI
14C2	nfdc-canadiansyllabicsni	CANADIAN SYLLABICS NI
14C3	nfdc-canadiansyllabicsnii	CANADIAN SYLLABICS NII
14C4	nfdc-canadiansyllabicsno	CANADIAN SYLLABICS NO
14C5	nfdc-canadiansyllabicsnoo	CANADIAN SYLLABICS NOO
14C6	nfdc-canadiansyllabicsycreenoo	CANADIAN SYLLABICS Y-CREE NOO
14C7	nfdc-canadiansyllabicsna	CANADIAN SYLLABICS NA
14C8	nfdc-canadiansyllabicsnaa	CANADIAN SYLLABICS NAA
14C9	nfdc-canadiansyllabicsnwe	CANADIAN SYLLABICS NWE
14CA	nfdc-canadiansyllabicswestcreenwe	CANADIAN SYLLABICS WEST-CREE NWE
14CB	nfdc-canadiansyllabicsnwa	CANADIAN SYLLABICS NWA
14CC	nfdc-canadiansyllabicswestcreenwa	CANADIAN SYLLABICS WEST-CREE NWA
14CD	nfdc-canadiansyllabicsnwaa	CANADIAN SYLLABICS NWAA
14CE	nfdc-canadiansyllabicswestcreenwaa	CANADIAN SYLLABICS WEST-CREE NWAA
14CF	nfdc-canadiansyllabicsnaskapinwaa	CANADIAN SYLLABICS NASKAPI NWAA
14D0	nfdc-canadiansyllabicsn	CANADIAN SYLLABICS N
14D1	nfdc-canadiansyllabicscarrierng	CANADIAN SYLLABICS CARRIER NG
