# Halfwidth and Fullwidth Forms FF00 - FFEF
FF84	hlfw-tohalfwidthkatakana	HALFWIDTH KATAKANA LETTER TO
FF85	hlfw-nahalfwidthkatakana	HALFWIDTH KATAKANA LETTER NA
FF86	hlfw-nihalfwidthkatakana	HALFWIDTH KATAKANA LETTER NI
FF87	hlfw-nuhalfwidthkatakana	HALFWIDTH KATAKANA LETTER NU
FF88	hlfw-nehalfwidthkatakana	HALFWIDTH KATAKANA LETTER NE
FF89	hlfw-nohalfwidthkatakana	HALFWIDTH KATAKANA LETTER NO
FF8A	hlfw-hahalfwidthkatakana	HALFWIDTH KATAKANA LETTER HA
FF8B	hlfw-hihalfwidthkatakana	HALFWIDTH KATAKANA LETTER HI
FF8C	hlfw-huhalfwidthkatakana	HALFWIDTH KATAKANA LETTER HU
FF8D	hlfw-hehalfwidthkatakana	HALFWIDTH KATAKANA LETTER HE
FF8E	hlfw-hohalfwidthkatakana	HALFWIDTH KATAKANA LETTER HO
FF8F	hlfw-mahalfwidthkatakana	HALFWIDTH KATAKANA LETTER MA
FF90	hlfw-mihalfwidthkatakana	HALFWIDTH KATAKANA LETTER MI
FF91	hlfw-muhalfwidthkatakana	HALFWIDTH KATAKANA LETTER MU
FF92	hlfw-mehalfwidthkatakana	HALFWIDTH KATAKANA LETTER ME
FF93	hlfw-mohalfwidthkatakana	HALFWIDTH KATAKANA LETTER MO
FF94	hlfw-yahalfwidthkatakana	HALFWIDTH KATAKANA LETTER YA
FF95	hlfw-yuhalfwidthkatakana	HALFWIDTH KATAKANA LETTER YU
FF96	hlfw-yohalfwidthkatakana	HALFWIDTH KATAKANA LETTER YO
FF97	hlfw-rahalfwidthkatakana	HALFWIDTH KATAKANA LETTER RA
FF98	hlfw-rihalfwidthkatakana	HALFWIDTH KATAKANA LETTER RI
FF99	hlfw-ruhalfwidthkatakana	HALFWIDTH KATAKANA LETTER RU
FF9A	hlfw-rehalfwidthkatakana	HALFWIDTH KATAKANA LETTER RE
FF9B	hlfw-rohalfwidthkatakana	HALFWIDTH KATAKANA LETTER RO
FF9C	hlfw-wahalfwidthkatakana	HALFWIDTH KATAKANA LETTER WA
FF9D	hlfw-nhalfwidthkatakana	HALFWIDTH KATAKANA LETTER N
FF9E	hlfw-voicedhalfwidthkatakana	HALFWIDTH KATAKANA VOICED SOUND MARK
FF9F	hlfw-semi-voicedhalfwidthkatakana	HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
FFA0	hlfw-HALFWIDTHHANGULFILLER	HALFWIDTH HANGUL FILLER
FFA1	hlfw-HALFWIDTHHANGULLETTERKIYEOK	HALFWIDTH HANGUL LETTER KIYEOK
FFA2	hlfw-HALFWIDTHHANGULLETTERSSANGKIYEOK	HALFWIDTH HANGUL LETTER SSANGKIYEOK
FFA3	hlfw-HALFWIDTHHANGULLETTERKIYEOK-SIOS	HALFWIDTH HANGUL LETTER KIYEOK-SIOS
FFA4	hlfw-HALFWIDTHHANGULLETTERNIEUN	HALFWIDTH HANGUL LETTER NIEUN
FFA5	hlfw-HALFWIDTHHANGULLETTERNIEUN-CIEUC	HALFWIDTH HANGUL LETTER NIEUN-CIEUC
FFA6	hlfw-HALFWIDTHHANGULLETTERNIEUN-HIEUH	HALFWIDTH HANGUL LETTER NIEUN-HIEUH
FFA7	hlfw-HALFWIDTHHANGULLETTERTIKEUT	HALFWIDTH HANGUL LETTER TIKEUT
FFA8	hlfw-HALFWIDTHHANGULLETTERSSANGTIKEUT	HALFWIDTH HANGUL LETTER SSANGTIKEUT
FFA9	hlfw-HALFWIDTHHANGULLETTERRIEUL	HALFWIDTH HANGUL LETTER RIEUL
FFAA	hlfw-HALFWIDTHHANGULLETTERRIEUL-KIYEOK	HALFWIDTH HANGUL LETTER RIEUL-KIYEOK
FFAB	hlfw-HALFWIDTHHANGULLETTERRIEUL-MIEUM	HALFWIDTH HANGUL LETTER RIEUL-MIEUM
FFAC	hlfw-HALFWIDTHHANGULLETTERRIEUL-PIEUP	HALFWIDTH HANGUL LETTER RIEUL-PIEUP
FFAD	hlfw-HALFWIDTHHANGULLETTERRIEUL-SIOS	HALFWIDTH HANGUL LETTER RIEUL-SIOS
FFAE	hlfw-HALFWIDTHHANGULLETTERRIEUL-THIEUTH	HALFWIDTH HANGUL LETTER RIEUL-THIEUTH
FFAF	hlfw-HALFWIDTHHANGULLETTERRIEUL-PHIEUPH	HALFWIDTH HANGUL LETTER RIEUL-PHIEUPH
FFB0	hlfw-HALFWIDTHHANGULLETTERRIEUL-HIEUH	HALFWIDTH HANGUL LETTER RIEUL-HIEUH
FFB1	hlfw-HALFWIDTHHANGULLETTERMIEUM	HALFWIDTH HANGUL LETTER MIEUM
FFB2	hlfw-HALFWIDTHHANGULLETTERPIEUP	HALFWIDTH HANGUL LETTER PIEUP
FFB3	hlfw-HALFWIDTHHANGULLETTERSSANGPIEUP	HALFWIDTH HANGUL LETTER SSANGPIEUP
FFB4	hlfw-HALFWIDTHHANGULLETTERPIEUP-SIOS	HALFWIDTH HANGUL LETTER PIEUP-SIOS
FFB5	hlfw-HALFWIDTHHANGULLETTERSIOS	HALFWIDTH HANGUL LETTER SIOS
FFB6	hlfw-HALFWIDTHHANGULLETTERSSANGSIOS	HALFWIDTH HANGUL LETTER SSANGSIOS
FFB7	hlfw-HALFWIDTHHANGULLETTERIEUNG	HALFWIDTH HANGUL LETTER IEUNG
FFB8	hlfw-HALFWIDTHHANGULLETTERCIEUC	HALFWIDTH HANGUL LETTER CIEUC
FFB9	hlfw-HALFWIDTHHANGULLETTERSSANGCIEUC	HALFWIDTH HANGUL LETTER SSANGCIEUC
FFBA	hlfw-HALFWIDTHHANGULLETTERCHIEUCH	HALFWIDTH HANGUL LETTER CHIEUCH
FFBB	hlfw-HALFWIDTHHANGULLETTERKHIEUKH	HALFWIDTH HANGUL LETTER KHIEUKH
FFBC	hlfw-HALFWIDTHHANGULLETTERTHIEUTH	HALFWIDTH HANGUL LETTER THIEUTH
FFBD	hlfw-HALFWIDTHHANGULLETTERPHIEUPH	HALFWIDTH HANGUL LETTER PHIEUPH
FFBE	hlfw-HALFWIDTHHANGULLETTERHIEUH	HALFWIDTH HANGUL LETTER HIEUH
FFC2	hlfw-HALFWIDTHHANGULLETTERA	HALFWIDTH HANGUL LETTER A
FFC3	hlfw-HALFWIDTHHANGULLETTERAE	HALFWIDTH HANGUL LETTER AE
FFC4	hlfw-HALFWIDTHHANGULLETTERYA	HALFWIDTH HANGUL LETTER YA
FFC5	hlfw-HALFWIDTHHANGULLETTERYAE	HALFWIDTH HANGUL LETTER YAE
FFC6	hlfw-HALFWIDTHHANGULLETTEREO	HALFWIDTH HANGUL LETTER EO
FFC7	hlfw-HALFWIDTHHANGULLETTERE	HALFWIDTH HANGUL LETTER E
FFCA	hlfw-HALFWIDTHHANGULLETTERYEO	HALFWIDTH HANGUL LETTER YEO
FFCB	hlfw-HALFWIDTHHANGULLETTERYE	HALFWIDTH HANGUL LETTER YE
FFCC	hlfw-HALFWIDTHHANGULLETTERO	HALFWIDTH HANGUL LETTER O
FFCD	hlfw-HALFWIDTHHANGULLETTERWA	HALFWIDTH HANGUL LETTER WA
FFCE	hlfw-HALFWIDTHHANGULLETTERWAE	HALFWIDTH HANGUL LETTER WAE
FFCF	hlfw-HALFWIDTHHANGULLETTEROE	HALFWIDTH HANGUL LETTER OE
FFD2	hlfw-HALFWIDTHHANGULLETTERYO	HALFWIDTH HANGUL LETTER YO
FFD3	hlfw-HALFWIDTHHANGULLETTERU	HALFWIDTH HANGUL LETTER U
FFD4	hlfw-HALFWIDTHHANGULLETTERWEO	HALFWIDTH HANGUL LETTER WEO
FFD5	hlfw-HALFWIDTHHANGULLETTERWE	HALFWIDTH HANGUL LETTER WE
FFD6	hlfw-HALFWIDTHHANGULLETTERWI	HALFWIDTH HANGUL LETTER WI
FFD7	hlfw-HALFWIDTHHANGULLETTERYU	HALFWIDTH HANGUL LETTER YU
FFDA	hlfw-HALFWIDTHHANGULLETTEREU	HALFWIDTH HANGUL LETTER EU
FFDB	hlfw-HALFWIDTHHANGULLETTERYI	HALFWIDTH HANGUL LETTER YI
FFDC	hlfw-HALFWIDTHHANGULLETTERI	HALFWIDTH HANGUL LETTER I
FFE0	hlfw-FULLWIDTHCENTSIGN	FULLWIDTH CENT SIGN
FFE1	hlfw-FULLWIDTHPOUNDSIGN	FULLWIDTH POUND SIGN
FFE2	hlfw-FULLWIDTHNOTSIGN	FULLWIDTH NOT SIGN
FFE3	hlfw-FULLWIDTHMACRON	FULLWIDTH MACRON
FFE4	hlfw-FULLWIDTHBROKENBAR	FULLWIDTH BROKEN BAR
FFE5	hlfw-FULLWIDTHYENSIGN	FULLWIDTH YEN SIGN
FFE6	hlfw-FULLWIDTHWONSIGN	FULLWIDTH WON SIGN
FFE8	hlfw-HALFWIDTHFORMSLIGHTVERTICAL	HALFWIDTH FORMS LIGHT VERTICAL
FFE9	hlfw-HALFWIDTHLEFTWARDSARROW	HALFWIDTH LEFTWARDS ARROW
FFEA	hlfw-HALFWIDTHUPWARDSARROW	HALFWIDTH UPWARDS ARROW
FFEB	hlfw-HALFWIDTHRIGHTWARDSARROW	HALFWIDTH RIGHTWARDS ARROW
FFEC	hlfw-HALFWIDTHDOWNWARDSARROW	HALFWIDTH DOWNWARDS ARROW
FFED	hlfw-HALFWIDTHBLACKSQUARE	HALFWIDTH BLACK SQUARE
FFEE	hlfw-HALFWIDTHWHITECIRCLE	HALFWIDTH WHITE CIRCLE
