# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A787	cjk-cjkunifiedideograph2a787	CJK UNIFIED IDEOGRAPH-2A787
2A788	cjk-cjkunifiedideograph2a788	CJK UNIFIED IDEOGRAPH-2A788
2A789	cjk-cjkunifiedideograph2a789	CJK UNIFIED IDEOGRAPH-2A789
2A78A	cjk-cjkunifiedideograph2a78a	CJK UNIFIED IDEOGRAPH-2A78A
2A78B	cjk-cjkunifiedideograph2a78b	CJK UNIFIED IDEOGRAPH-2A78B
2A78C	cjk-cjkunifiedideograph2a78c	CJK UNIFIED IDEOGRAPH-2A78C
2A78D	cjk-cjkunifiedideograph2a78d	CJK UNIFIED IDEOGRAPH-2A78D
2A78E	cjk-cjkunifiedideograph2a78e	CJK UNIFIED IDEOGRAPH-2A78E
2A78F	cjk-cjkunifiedideograph2a78f	CJK UNIFIED IDEOGRAPH-2A78F
2A790	cjk-cjkunifiedideograph2a790	CJK UNIFIED IDEOGRAPH-2A790
2A791	cjk-cjkunifiedideograph2a791	CJK UNIFIED IDEOGRAPH-2A791
2A792	cjk-cjkunifiedideograph2a792	CJK UNIFIED IDEOGRAPH-2A792
2A793	cjk-cjkunifiedideograph2a793	CJK UNIFIED IDEOGRAPH-2A793
2A794	cjk-cjkunifiedideograph2a794	CJK UNIFIED IDEOGRAPH-2A794
2A795	cjk-cjkunifiedideograph2a795	CJK UNIFIED IDEOGRAPH-2A795
2A796	cjk-cjkunifiedideograph2a796	CJK UNIFIED IDEOGRAPH-2A796
2A797	cjk-cjkunifiedideograph2a797	CJK UNIFIED IDEOGRAPH-2A797
2A798	cjk-cjkunifiedideograph2a798	CJK UNIFIED IDEOGRAPH-2A798
2A799	cjk-cjkunifiedideograph2a799	CJK UNIFIED IDEOGRAPH-2A799
2A79A	cjk-cjkunifiedideograph2a79a	CJK UNIFIED IDEOGRAPH-2A79A
2A79B	cjk-cjkunifiedideograph2a79b	CJK UNIFIED IDEOGRAPH-2A79B
2A79C	cjk-cjkunifiedideograph2a79c	CJK UNIFIED IDEOGRAPH-2A79C
2A79D	cjk-cjkunifiedideograph2a79d	CJK UNIFIED IDEOGRAPH-2A79D
2A79E	cjk-cjkunifiedideograph2a79e	CJK UNIFIED IDEOGRAPH-2A79E
2A79F	cjk-cjkunifiedideograph2a79f	CJK UNIFIED IDEOGRAPH-2A79F
2A7A0	cjk-cjkunifiedideograph2a7a0	CJK UNIFIED IDEOGRAPH-2A7A0
2A7A1	cjk-cjkunifiedideograph2a7a1	CJK UNIFIED IDEOGRAPH-2A7A1
2A7A2	cjk-cjkunifiedideograph2a7a2	CJK UNIFIED IDEOGRAPH-2A7A2
2A7A3	cjk-cjkunifiedideograph2a7a3	CJK UNIFIED IDEOGRAPH-2A7A3
2A7A4	cjk-cjkunifiedideograph2a7a4	CJK UNIFIED IDEOGRAPH-2A7A4
2A7A5	cjk-cjkunifiedideograph2a7a5	CJK UNIFIED IDEOGRAPH-2A7A5
2A7A6	cjk-cjkunifiedideograph2a7a6	CJK UNIFIED IDEOGRAPH-2A7A6
2A7A7	cjk-cjkunifiedideograph2a7a7	CJK UNIFIED IDEOGRAPH-2A7A7
2A7A8	cjk-cjkunifiedideograph2a7a8	CJK UNIFIED IDEOGRAPH-2A7A8
2A7A9	cjk-cjkunifiedideograph2a7a9	CJK UNIFIED IDEOGRAPH-2A7A9
2A7AA	cjk-cjkunifiedideograph2a7aa	CJK UNIFIED IDEOGRAPH-2A7AA
2A7AB	cjk-cjkunifiedideograph2a7ab	CJK UNIFIED IDEOGRAPH-2A7AB
2A7AC	cjk-cjkunifiedideograph2a7ac	CJK UNIFIED IDEOGRAPH-2A7AC
2A7AD	cjk-cjkunifiedideograph2a7ad	CJK UNIFIED IDEOGRAPH-2A7AD
2A7AE	cjk-cjkunifiedideograph2a7ae	CJK UNIFIED IDEOGRAPH-2A7AE
2A7AF	cjk-cjkunifiedideograph2a7af	CJK UNIFIED IDEOGRAPH-2A7AF
2A7B0	cjk-cjkunifiedideograph2a7b0	CJK UNIFIED IDEOGRAPH-2A7B0
2A7B1	cjk-cjkunifiedideograph2a7b1	CJK UNIFIED IDEOGRAPH-2A7B1
2A7B2	cjk-cjkunifiedideograph2a7b2	CJK UNIFIED IDEOGRAPH-2A7B2
2A7B3	cjk-cjkunifiedideograph2a7b3	CJK UNIFIED IDEOGRAPH-2A7B3
2A7B4	cjk-cjkunifiedideograph2a7b4	CJK UNIFIED IDEOGRAPH-2A7B4
2A7B5	cjk-cjkunifiedideograph2a7b5	CJK UNIFIED IDEOGRAPH-2A7B5
