# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D452	mthm-mathematicalitalicsmalle	MATHEMATICAL ITALIC SMALL E
1D453	mthm-mathematicalitalicsmallf	MATHEMATICAL ITALIC SMALL F
1D454	mthm-mathematicalitalicsmallg	MATHEMATICAL ITALIC SMALL G
1D456	mthm-mathematicalitalicsmalli	MATHEMATICAL ITALIC SMALL I
1D457	mthm-mathematicalitalicsmallj	MATHEMATICAL ITALIC SMALL J
1D458	mthm-mathematicalitalicsmallk	MATHEMATICAL ITALIC SMALL K
1D459	mthm-mathematicalitalicsmalll	MATHEMATICAL ITALIC SMALL L
1D45A	mthm-mathematicalitalicsmallm	MATHEMATICAL ITALIC SMALL M
1D45B	mthm-mathematicalitalicsmalln	MATHEMATICAL ITALIC SMALL N
1D45C	mthm-mathematicalitalicsmallo	MATHEMATICAL ITALIC SMALL O
1D45D	mthm-mathematicalitalicsmallp	MATHEMATICAL ITALIC SMALL P
1D45E	mthm-mathematicalitalicsmallq	MATHEMATICAL ITALIC SMALL Q
1D45F	mthm-mathematicalitalicsmallr	MATHEMATICAL ITALIC SMALL R
1D460	mthm-mathematicalitalicsmalls	MATHEMATICAL ITALIC SMALL S
1D461	mthm-mathematicalitalicsmallt	MATHEMATICAL ITALIC SMALL T
1D462	mthm-mathematicalitalicsmallu	MATHEMATICAL ITALIC SMALL U
1D463	mthm-mathematicalitalicsmallv	MATHEMATICAL ITALIC SMALL V
1D464	mthm-mathematicalitalicsmallw	MATHEMATICAL ITALIC SMALL W
1D465	mthm-mathematicalitalicsmallx	MATHEMATICAL ITALIC SMALL X
1D466	mthm-mathematicalitalicsmally	MATHEMATICAL ITALIC SMALL Y
1D467	mthm-mathematicalitalicsmallz	MATHEMATICAL ITALIC SMALL Z
1D468	mthm-mathematicalbolditaliccapitala	MATHEMATICAL BOLD ITALIC CAPITAL A
1D469	mthm-mathematicalbolditaliccapitalb	MATHEMATICAL BOLD ITALIC CAPITAL B
1D46A	mthm-mathematicalbolditaliccapitalc	MATHEMATICAL BOLD ITALIC CAPITAL C
1D46B	mthm-mathematicalbolditaliccapitald	MATHEMATICAL BOLD ITALIC CAPITAL D
1D46C	mthm-mathematicalbolditaliccapitale	MATHEMATICAL BOLD ITALIC CAPITAL E
1D46D	mthm-mathematicalbolditaliccapitalf	MATHEMATICAL BOLD ITALIC CAPITAL F
1D46E	mthm-mathematicalbolditaliccapitalg	MATHEMATICAL BOLD ITALIC CAPITAL G
1D46F	mthm-mathematicalbolditaliccapitalh	MATHEMATICAL BOLD ITALIC CAPITAL H
1D470	mthm-mathematicalbolditaliccapitali	MATHEMATICAL BOLD ITALIC CAPITAL I
1D471	mthm-mathematicalbolditaliccapitalj	MATHEMATICAL BOLD ITALIC CAPITAL J
1D472	mthm-mathematicalbolditaliccapitalk	MATHEMATICAL BOLD ITALIC CAPITAL K
1D473	mthm-mathematicalbolditaliccapitall	MATHEMATICAL BOLD ITALIC CAPITAL L
1D474	mthm-mathematicalbolditaliccapitalm	MATHEMATICAL BOLD ITALIC CAPITAL M
1D475	mthm-mathematicalbolditaliccapitaln	MATHEMATICAL BOLD ITALIC CAPITAL N
1D476	mthm-mathematicalbolditaliccapitalo	MATHEMATICAL BOLD ITALIC CAPITAL O
