# Egyptian Hieroglyphs 13000 - 1342F
1314A	gypt-egyptianhieroglyphg009	EGYPTIAN HIEROGLYPH G009
1314B	gypt-egyptianhieroglyphg010	EGYPTIAN HIEROGLYPH G010
1314C	gypt-egyptianhieroglyphg011	EGYPTIAN HIEROGLYPH G011
1314D	gypt-egyptianhieroglyphg011a	EGYPTIAN HIEROGLYPH G011A
1314E	gypt-egyptianhieroglyphg012	EGYPTIAN HIEROGLYPH G012
1314F	gypt-egyptianhieroglyphg013	EGYPTIAN HIEROGLYPH G013
13150	gypt-egyptianhieroglyphg014	EGYPTIAN HIEROGLYPH G014
13151	gypt-egyptianhieroglyphg015	EGYPTIAN HIEROGLYPH G015
13152	gypt-egyptianhieroglyphg016	EGYPTIAN HIEROGLYPH G016
13153	gypt-egyptianhieroglyphg017	EGYPTIAN HIEROGLYPH G017
13154	gypt-egyptianhieroglyphg018	EGYPTIAN HIEROGLYPH G018
