   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
    7D : braceright                                        braceright               braceright                              Basic Latin                             RIGHT CURLY BRACKET 
  FE5C : smll-braceright                                   bracerightsmall          smll-braceright                         Small Form Variants                     SMALL RIGHT CURLY BRACKET

    63 : c                                                 c                        c                                       Basic Latin                             LATIN SMALL LETTER C
  3118 : bpmf-c                                            cbopomofo                bpmf-c                                  Bopomofo                                BOPOMOFO LETTER C   

   56E : am-ca                                             caarmenian               am-ca                                   Armenian                                ARMENIAN SMALL LETTER CA
   91A : dv-ca                                             dvCa                     dv-ca                                   Devanagari                              DEVANAGARI LETTER CA
   99A : bngl-ca                                           beCa                     bngl-ca                                 Bengali                                 BENGALI LETTER CA   
   A1A : grmk-ca                                           guCa                     grmk-ca                                 Gurmukhi                                GURMUKHI LETTER CA  
   A9A : gjrt-ca                                           gjCa                     gjrt-ca                                 Gujarati                                GUJARATI LETTER CA  
   B1A : ry-ca                                             odCa                     ry-ca                                   Oriya                                   ORIYA LETTER CA     
   B9A : tml-ca                                            taCa                     tml-ca                                  Tamil                                   TAMIL LETTER CA     
   C1A : tlg-ca                                            teCa                     tlg-ca                                  Telugu                                  TELUGU LETTER CA    
   C9A : kn-ca                                             knCa                     kn-ca                                   Kannada                                 KANNADA LETTER CA   
   D1A : ma-ca                                             mlCa                     ma-ca                                   Malayalam                               MALAYALAM LETTER CA 
   F45 : tb-ca                                             -                        tb-ca                                   Tibetan                                 TIBETAN LETTER CA   
  A995 : ja-ca                                             -                        ja-ca                                   Javanese                                JAVANESE LETTER CA  

   901 : dv-candrabindu                                    dvCandrabindu            dv-candrabindu                          Devanagari                              DEVANAGARI SIGN CANDRABINDU
   981 : bngl-candrabindu                                  beCandrabindu            bngl-candrabindu                        Bengali                                 BENGALI SIGN CANDRABINDU
   B01 : ry-candrabindu                                    odCandrabindu            ry-candrabindu                          Oriya                                   ORIYA SIGN CANDRABINDU

   579 : am-cha                                            chaarmenian              am-cha                                  Armenian                                ARMENIAN SMALL LETTER CHA
   91B : dv-cha                                            dvCha                    dv-cha                                  Devanagari                              DEVANAGARI LETTER CHA
   99B : bngl-cha                                          beCha                    bngl-cha                                Bengali                                 BENGALI LETTER CHA  
   A1B : grmk-cha                                          guCha                    grmk-cha                                Gurmukhi                                GURMUKHI LETTER CHA 
   A9B : gjrt-cha                                          gjCha                    gjrt-cha                                Gujarati                                GUJARATI LETTER CHA 
   B1B : ry-cha                                            odCha                    ry-cha                                  Oriya                                   ORIYA LETTER CHA    
   C1B : tlg-cha                                           teCha                    tlg-cha                                 Telugu                                  TELUGU LETTER CHA   
   C9B : kn-cha                                            knCha                    kn-cha                                  Kannada                                 KANNADA LETTER CHA  
   D1B : ma-cha                                            mlCha                    ma-cha                                  Malayalam                               MALAYALAM LETTER CHA
   F46 : tb-cha                                            -                        tb-cha                                  Tibetan                                 TIBETAN LETTER CHA  
  1834 : mo-cha                                            -                        mo-cha                                  Mongolian                               MONGOLIAN LETTER CHA

   3C7 : chi                                               chi                      chi                                     Greek and Coptic                        GREEK SMALL LETTER CHI
  1842 : mo-chi                                            -                        mo-chi                                  Mongolian                               MONGOLIAN LETTER CHI

    3A : colon                                             colon                    colon                                   Basic Latin                             COLON               
  1804 : mo-colon                                          -                        mo-colon                                Mongolian                               MONGOLIAN COLON     
  FE55 : smll-colon                                        colonsmall               smll-colon                              Small Form Variants                     SMALL COLON         

    2C : comma                                             comma                    comma                                   Basic Latin                             COMMA               
   55D : am-comma                                          commaarmenian            am-comma                                Armenian                                ARMENIAN COMMA      
   60C : ar-comma                                          arComma                  ar-comma                                Arabic                                  ARABIC COMMA        
  1802 : mo-comma                                          -                        mo-comma                                Mongolian                               MONGOLIAN COMMA     
  FE50 : smll-comma                                        commasmall               smll-comma                              Small Form Variants                     SMALL COMMA         

   606 : ar-cuberoot                                       -                        ar-cuberoot                             Arabic                                  ARABIC-INDIC CUBE ROOT
  221B : mthm-cuberoot                                     -                        mthm-cuberoot                           Mathematical Operators                  CUBE ROOT           

    64 : d                                                 d                        d                                       Basic Latin                             LATIN SMALL LETTER D
  3109 : bpmf-d                                            dbopomofo                bpmf-d                                  Bopomofo                                BOPOMOFO LETTER D   

   564 : am-da                                             daarmenian               am-da                                   Armenian                                ARMENIAN SMALL LETTER DA
   926 : dv-da                                             dvDa                     dv-da                                   Devanagari                              DEVANAGARI LETTER DA
   9A6 : bngl-da                                           beDa                     bngl-da                                 Bengali                                 BENGALI LETTER DA   
   A26 : grmk-da                                           guDa                     grmk-da                                 Gurmukhi                                GURMUKHI LETTER DA  
   AA6 : gjrt-da                                           gjDa                     gjrt-da                                 Gujarati                                GUJARATI LETTER DA  
   B26 : ry-da                                             odDa                     ry-da                                   Oriya                                   ORIYA LETTER DA     
   C26 : tlg-da                                            teDa                     tlg-da                                  Telugu                                  TELUGU LETTER DA    
   CA6 : kn-da                                             knDa                     kn-da                                   Kannada                                 KANNADA LETTER DA   
