# Byzantine Musical Symbols 1D000 - 1D0FF
1D0BF	byzn-byzantinemusicalsymbolfthoradiatonikike	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI KE
1D0C0	byzn-byzantinemusicalsymbolfthoradiatonikizo	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI ZO
1D0C1	byzn-byzantinemusicalsymbolfthoradiatonikinikato	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NI KATO
1D0C2	byzn-byzantinemusicalsymbolfthoradiatonikiniano	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NI ANO
1D0C3	byzn-byzantinemusicalsymbolfthoramalakonchromadifonias	BYZANTINE MUSICAL SYMBOL FTHORA MALAKON CHROMA DIFONIAS
1D0C4	byzn-byzantinemusicalsymbolfthoramalakonchromamonofonias	BYZANTINE MUSICAL SYMBOL FTHORA MALAKON CHROMA MONOFONIAS
1D0C5	byzn-byzantinemusicalsymbolfhtorasklironchromavasis	BYZANTINE MUSICAL SYMBOL FHTORA SKLIRON CHROMA VASIS
1D0C6	byzn-byzantinemusicalsymbolfthorasklironchromasynafi	BYZANTINE MUSICAL SYMBOL FTHORA SKLIRON CHROMA SYNAFI
1D0C7	byzn-byzantinemusicalsymbolfthoranenano	BYZANTINE MUSICAL SYMBOL FTHORA NENANO
1D0C8	byzn-byzantinemusicalsymbolchroazygos	BYZANTINE MUSICAL SYMBOL CHROA ZYGOS
1D0C9	byzn-byzantinemusicalsymbolchroakliton	BYZANTINE MUSICAL SYMBOL CHROA KLITON
1D0CA	byzn-byzantinemusicalsymbolchroaspathi	BYZANTINE MUSICAL SYMBOL CHROA SPATHI
1D0CB	byzn-byzantinemusicalsymbolfthoraiyfesistetartimorion	BYZANTINE MUSICAL SYMBOL FTHORA I YFESIS TETARTIMORION
1D0CC	byzn-byzantinemusicalsymbolfthoraenarmoniosantifonia	BYZANTINE MUSICAL SYMBOL FTHORA ENARMONIOS ANTIFONIA
1D0CD	byzn-byzantinemusicalsymbolyfesistritimorion	BYZANTINE MUSICAL SYMBOL YFESIS TRITIMORION
1D0CE	byzn-byzantinemusicalsymboldiesistritimorion	BYZANTINE MUSICAL SYMBOL DIESIS TRITIMORION
