# Hangul Syllables AC00 - D7AF
ACB1	ko-hangulsyllablegyeolg	HANGUL SYLLABLE GYEOLG
ACB2	ko-hangulsyllablegyeolm	HANGUL SYLLABLE GYEOLM
ACB3	ko-hangulsyllablegyeolb	HANGUL SYLLABLE GYEOLB
ACB4	ko-hangulsyllablegyeols	HANGUL SYLLABLE GYEOLS
ACB5	ko-hangulsyllablegyeolt	HANGUL SYLLABLE GYEOLT
ACB6	ko-hangulsyllablegyeolp	HANGUL SYLLABLE GYEOLP
ACB7	ko-hangulsyllablegyeolh	HANGUL SYLLABLE GYEOLH
ACB8	ko-hangulsyllablegyeom	HANGUL SYLLABLE GYEOM
ACB9	ko-hangulsyllablegyeob	HANGUL SYLLABLE GYEOB
ACBA	ko-hangulsyllablegyeobs	HANGUL SYLLABLE GYEOBS
ACBB	ko-hangulsyllablegyeos	HANGUL SYLLABLE GYEOS
ACBC	ko-hangulsyllablegyeoss	HANGUL SYLLABLE GYEOSS
ACBD	ko-hangulsyllablegyeong	HANGUL SYLLABLE GYEONG
ACBE	ko-hangulsyllablegyeoj	HANGUL SYLLABLE GYEOJ
ACBF	ko-hangulsyllablegyeoc	HANGUL SYLLABLE GYEOC
ACC0	ko-hangulsyllablegyeok	HANGUL SYLLABLE GYEOK
ACC1	ko-hangulsyllablegyeot	HANGUL SYLLABLE GYEOT
ACC2	ko-hangulsyllablegyeop	HANGUL SYLLABLE GYEOP
ACC3	ko-hangulsyllablegyeoh	HANGUL SYLLABLE GYEOH
ACC4	ko-hangulsyllablegye	HANGUL SYLLABLE GYE
ACC5	ko-hangulsyllablegyeg	HANGUL SYLLABLE GYEG
ACC6	ko-hangulsyllablegyegg	HANGUL SYLLABLE GYEGG
ACC7	ko-hangulsyllablegyegs	HANGUL SYLLABLE GYEGS
ACC8	ko-hangulsyllablegyen	HANGUL SYLLABLE GYEN
ACC9	ko-hangulsyllablegyenj	HANGUL SYLLABLE GYENJ
ACCA	ko-hangulsyllablegyenh	HANGUL SYLLABLE GYENH
ACCB	ko-hangulsyllablegyed	HANGUL SYLLABLE GYED
ACCC	ko-hangulsyllablegyel	HANGUL SYLLABLE GYEL
ACCD	ko-hangulsyllablegyelg	HANGUL SYLLABLE GYELG
ACCE	ko-hangulsyllablegyelm	HANGUL SYLLABLE GYELM
ACCF	ko-hangulsyllablegyelb	HANGUL SYLLABLE GYELB
ACD0	ko-hangulsyllablegyels	HANGUL SYLLABLE GYELS
ACD1	ko-hangulsyllablegyelt	HANGUL SYLLABLE GYELT
ACD2	ko-hangulsyllablegyelp	HANGUL SYLLABLE GYELP
ACD3	ko-hangulsyllablegyelh	HANGUL SYLLABLE GYELH
ACD4	ko-hangulsyllablegyem	HANGUL SYLLABLE GYEM
ACD5	ko-hangulsyllablegyeb	HANGUL SYLLABLE GYEB
ACD6	ko-hangulsyllablegyebs	HANGUL SYLLABLE GYEBS
ACD7	ko-hangulsyllablegyes	HANGUL SYLLABLE GYES
ACD8	ko-hangulsyllablegyess	HANGUL SYLLABLE GYESS
ACD9	ko-hangulsyllablegyeng	HANGUL SYLLABLE GYENG
ACDA	ko-hangulsyllablegyej	HANGUL SYLLABLE GYEJ
ACDB	ko-hangulsyllablegyec	HANGUL SYLLABLE GYEC
ACDC	ko-hangulsyllablegyek	HANGUL SYLLABLE GYEK
ACDD	ko-hangulsyllablegyet	HANGUL SYLLABLE GYET
ACDE	ko-hangulsyllablegyep	HANGUL SYLLABLE GYEP
ACDF	ko-hangulsyllablegyeh	HANGUL SYLLABLE GYEH
ACE0	ko-hangulsyllablego	HANGUL SYLLABLE GO
ACE1	ko-hangulsyllablegog	HANGUL SYLLABLE GOG
ACE2	ko-hangulsyllablegogg	HANGUL SYLLABLE GOGG
ACE3	ko-hangulsyllablegogs	HANGUL SYLLABLE GOGS
ACE4	ko-hangulsyllablegon	HANGUL SYLLABLE GON
ACE5	ko-hangulsyllablegonj	HANGUL SYLLABLE GONJ
ACE6	ko-hangulsyllablegonh	HANGUL SYLLABLE GONH
ACE7	ko-hangulsyllablegod	HANGUL SYLLABLE GOD
ACE8	ko-hangulsyllablegol	HANGUL SYLLABLE GOL
ACE9	ko-hangulsyllablegolg	HANGUL SYLLABLE GOLG
ACEA	ko-hangulsyllablegolm	HANGUL SYLLABLE GOLM
ACEB	ko-hangulsyllablegolb	HANGUL SYLLABLE GOLB
ACEC	ko-hangulsyllablegols	HANGUL SYLLABLE GOLS
ACED	ko-hangulsyllablegolt	HANGUL SYLLABLE GOLT
ACEE	ko-hangulsyllablegolp	HANGUL SYLLABLE GOLP
ACEF	ko-hangulsyllablegolh	HANGUL SYLLABLE GOLH
ACF0	ko-hangulsyllablegom	HANGUL SYLLABLE GOM
ACF1	ko-hangulsyllablegob	HANGUL SYLLABLE GOB
ACF2	ko-hangulsyllablegobs	HANGUL SYLLABLE GOBS
ACF3	ko-hangulsyllablegos	HANGUL SYLLABLE GOS
ACF4	ko-hangulsyllablegoss	HANGUL SYLLABLE GOSS
ACF5	ko-hangulsyllablegong	HANGUL SYLLABLE GONG
ACF6	ko-hangulsyllablegoj	HANGUL SYLLABLE GOJ
ACF7	ko-hangulsyllablegoc	HANGUL SYLLABLE GOC
ACF8	ko-hangulsyllablegok	HANGUL SYLLABLE GOK
ACF9	ko-hangulsyllablegot	HANGUL SYLLABLE GOT
ACFA	ko-hangulsyllablegop	HANGUL SYLLABLE GOP
