# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F893	cjk-cjkcompatibilityideograph2f893	CJK COMPATIBILITY IDEOGRAPH-2F893
2F894	cjk-cjkcompatibilityideograph2f894	CJK COMPATIBILITY IDEOGRAPH-2F894
2F895	cjk-cjkcompatibilityideograph2f895	CJK COMPATIBILITY IDEOGRAPH-2F895
2F896	cjk-cjkcompatibilityideograph2f896	CJK COMPATIBILITY IDEOGRAPH-2F896
2F897	cjk-cjkcompatibilityideograph2f897	CJK COMPATIBILITY IDEOGRAPH-2F897
2F898	cjk-cjkcompatibilityideograph2f898	CJK COMPATIBILITY IDEOGRAPH-2F898
2F899	cjk-cjkcompatibilityideograph2f899	CJK COMPATIBILITY IDEOGRAPH-2F899
2F89A	cjk-cjkcompatibilityideograph2f89a	CJK COMPATIBILITY IDEOGRAPH-2F89A
2F89B	cjk-cjkcompatibilityideograph2f89b	CJK COMPATIBILITY IDEOGRAPH-2F89B
2F89C	cjk-cjkcompatibilityideograph2f89c	CJK COMPATIBILITY IDEOGRAPH-2F89C
2F89D	cjk-cjkcompatibilityideograph2f89d	CJK COMPATIBILITY IDEOGRAPH-2F89D
2F89E	cjk-cjkcompatibilityideograph2f89e	CJK COMPATIBILITY IDEOGRAPH-2F89E
2F89F	cjk-cjkcompatibilityideograph2f89f	CJK COMPATIBILITY IDEOGRAPH-2F89F
2F8A0	cjk-cjkcompatibilityideograph2f8a0	CJK COMPATIBILITY IDEOGRAPH-2F8A0
2F8A1	cjk-cjkcompatibilityideograph2f8a1	CJK COMPATIBILITY IDEOGRAPH-2F8A1
2F8A2	cjk-cjkcompatibilityideograph2f8a2	CJK COMPATIBILITY IDEOGRAPH-2F8A2
2F8A3	cjk-cjkcompatibilityideograph2f8a3	CJK COMPATIBILITY IDEOGRAPH-2F8A3
2F8A4	cjk-cjkcompatibilityideograph2f8a4	CJK COMPATIBILITY IDEOGRAPH-2F8A4
2F8A5	cjk-cjkcompatibilityideograph2f8a5	CJK COMPATIBILITY IDEOGRAPH-2F8A5
2F8A6	cjk-cjkcompatibilityideograph2f8a6	CJK COMPATIBILITY IDEOGRAPH-2F8A6
2F8A7	cjk-cjkcompatibilityideograph2f8a7	CJK COMPATIBILITY IDEOGRAPH-2F8A7
2F8A8	cjk-cjkcompatibilityideograph2f8a8	CJK COMPATIBILITY IDEOGRAPH-2F8A8
2F8A9	cjk-cjkcompatibilityideograph2f8a9	CJK COMPATIBILITY IDEOGRAPH-2F8A9
2F8AA	cjk-cjkcompatibilityideograph2f8aa	CJK COMPATIBILITY IDEOGRAPH-2F8AA
2F8AB	cjk-cjkcompatibilityideograph2f8ab	CJK COMPATIBILITY IDEOGRAPH-2F8AB
2F8AC	cjk-cjkcompatibilityideograph2f8ac	CJK COMPATIBILITY IDEOGRAPH-2F8AC
2F8AD	cjk-cjkcompatibilityideograph2f8ad	CJK COMPATIBILITY IDEOGRAPH-2F8AD
2F8AE	cjk-cjkcompatibilityideograph2f8ae	CJK COMPATIBILITY IDEOGRAPH-2F8AE
2F8AF	cjk-cjkcompatibilityideograph2f8af	CJK COMPATIBILITY IDEOGRAPH-2F8AF
2F8B0	cjk-cjkcompatibilityideograph2f8b0	CJK COMPATIBILITY IDEOGRAPH-2F8B0
2F8B1	cjk-cjkcompatibilityideograph2f8b1	CJK COMPATIBILITY IDEOGRAPH-2F8B1
2F8B2	cjk-cjkcompatibilityideograph2f8b2	CJK COMPATIBILITY IDEOGRAPH-2F8B2
2F8B3	cjk-cjkcompatibilityideograph2f8b3	CJK COMPATIBILITY IDEOGRAPH-2F8B3
2F8B4	cjk-cjkcompatibilityideograph2f8b4	CJK COMPATIBILITY IDEOGRAPH-2F8B4
2F8B5	cjk-cjkcompatibilityideograph2f8b5	CJK COMPATIBILITY IDEOGRAPH-2F8B5
2F8B6	cjk-cjkcompatibilityideograph2f8b6	CJK COMPATIBILITY IDEOGRAPH-2F8B6
2F8B7	cjk-cjkcompatibilityideograph2f8b7	CJK COMPATIBILITY IDEOGRAPH-2F8B7
2F8B8	cjk-cjkcompatibilityideograph2f8b8	CJK COMPATIBILITY IDEOGRAPH-2F8B8
2F8B9	cjk-cjkcompatibilityideograph2f8b9	CJK COMPATIBILITY IDEOGRAPH-2F8B9
2F8BA	cjk-cjkcompatibilityideograph2f8ba	CJK COMPATIBILITY IDEOGRAPH-2F8BA
2F8BB	cjk-cjkcompatibilityideograph2f8bb	CJK COMPATIBILITY IDEOGRAPH-2F8BB
2F8BC	cjk-cjkcompatibilityideograph2f8bc	CJK COMPATIBILITY IDEOGRAPH-2F8BC
2F8BD	cjk-cjkcompatibilityideograph2f8bd	CJK COMPATIBILITY IDEOGRAPH-2F8BD
2F8BE	cjk-cjkcompatibilityideograph2f8be	CJK COMPATIBILITY IDEOGRAPH-2F8BE
2F8BF	cjk-cjkcompatibilityideograph2f8bf	CJK COMPATIBILITY IDEOGRAPH-2F8BF
2F8C0	cjk-cjkcompatibilityideograph2f8c0	CJK COMPATIBILITY IDEOGRAPH-2F8C0
2F8C1	cjk-cjkcompatibilityideograph2f8c1	CJK COMPATIBILITY IDEOGRAPH-2F8C1
2F8C2	cjk-cjkcompatibilityideograph2f8c2	CJK COMPATIBILITY IDEOGRAPH-2F8C2
2F8C3	cjk-cjkcompatibilityideograph2f8c3	CJK COMPATIBILITY IDEOGRAPH-2F8C3
2F8C4	cjk-cjkcompatibilityideograph2f8c4	CJK COMPATIBILITY IDEOGRAPH-2F8C4
2F8C5	cjk-cjkcompatibilityideograph2f8c5	CJK COMPATIBILITY IDEOGRAPH-2F8C5
2F8C6	cjk-cjkcompatibilityideograph2f8c6	CJK COMPATIBILITY IDEOGRAPH-2F8C6
2F8C7	cjk-cjkcompatibilityideograph2f8c7	CJK COMPATIBILITY IDEOGRAPH-2F8C7
